w	phi
1.000000000000000000e+01	3.244286376190684551e-02
1.072267222010323096e+01	3.477825875239459047e-02
1.149756995397735615e+01	3.728029814334403447e-02
1.232846739442065953e+01	3.996053139095791240e-02
1.321941148466028793e+01	4.283122855016154723e-02
1.417474162926805548e+01	4.590540615042782574e-02
1.519911082952933867e+01	4.919684898903348841e-02
1.629750834620644184e+01	5.272012622209059501e-02
1.747528400007684013e+01	5.649059973360619213e-02
1.873817422860383886e+01	6.052442227836227207e-02
2.009233002565046888e+01	6.483852231081746464e-02
2.154434690031884614e+01	6.945057171339319435e-02
2.310129700083160387e+01	7.437893180642628221e-02
2.477076355991711409e+01	7.964257204181715566e-02
2.656087782946686815e+01	8.526095463766257543e-02
2.848035868435801987e+01	9.125387709073622122e-02
3.053855508833415655e+01	9.764126300425082783e-02
3.274549162877728037e+01	1.044428900001042465e-01
3.511191734215130822e+01	1.116780416795522812e-01
3.764935806792467332e+01	1.193650687186522813e-01
4.037017258596554115e+01	1.275208423479817499e-01
4.328761281083057355e+01	1.361600818520843914e-01
4.641588833612780007e+01	1.452945366100736047e-01
4.977023564332111505e+01	1.549320029892324868e-01
5.336699231206309690e+01	1.650751576661205755e-01
5.722367659350216940e+01	1.757201924522909242e-01
6.135907273413172902e+01	1.868552424397277589e-01
6.579332246575683030e+01	1.984586104818120977e-01
7.054802310718645231e+01	2.104968081027159821e-01
7.564633275546290747e+01	2.229224573494613115e-01
8.111308307896872805e+01	2.356721311197664814e-01
8.697490026177834466e+01	2.486642516935049507e-01
9.326033468832198992e+01	2.617972177734549377e-01
1.000000000000000000e+02	2.749479862108593631e-01
1.072267222010323167e+02	2.879713893119740242e-01
1.149756995397735579e+02	3.007005115093934755e-01
1.232846739442065882e+02	3.129484650910853150e-01
1.321941148466028721e+02	3.245118751871801654e-01
1.417474162926804695e+02	3.351762909637803767e-01
1.519911082952933157e+02	3.447235705587938792e-01
1.629750834620643332e+02	3.529410430491976558e-01
1.747528400007682876e+02	3.596319542282327975e-01
1.873817422860383033e+02	3.646264014536965137e-01
2.009233002565045751e+02	3.677917235336051749e-01
2.154434690031884543e+02	3.690412066520916690e-01
2.310129700083160458e+02	3.683400506200392721e-01
2.477076355991711409e+02	3.657078237810569843e-01
2.656087782946686957e+02	3.612170783589537248e-01
2.848035868435802058e+02	3.549883121197127678e-01
3.053855508833415797e+02	3.471819361111163627e-01
3.274549162877728463e+02	3.379882437289202235e-01
3.511191734215130964e+02	3.276165171674449983e-01
3.764935806792467474e+02	3.162843513315136135e-01
4.037017258596557667e+02	3.042080668562692214e-01
4.328761281083061476e+02	2.915947925126173290e-01
4.641588833612781855e+02	2.786364935367402484e-01
4.977023564332113779e+02	2.655059601121507740e-01
5.336699231206312106e+02	2.523545788068384255e-01
5.722367659350220492e+02	2.393115958764388540e-01
6.135907273413175744e+02	2.264845356205326676e-01
6.579332246575681893e+02	2.139604420426896858e-01
7.054802310718645231e+02	2.018076490640790532e-01
7.564633275546290179e+02	1.900778372061628640e-01
8.111308307896872520e+02	1.788081910258852991e-01
8.697490026177833897e+02	1.680235240933224961e-01
9.326033468832199560e+02	1.577382830186707385e-01
1.000000000000000000e+03	1.479583776249651650e-01
1.072267222010323167e+03	1.386828110982110118e-01
1.149756995397735636e+03	1.299051029469967533e-01
1.232846739442065882e+03	1.216145103110142095e-01
1.321941148466028608e+03	1.137970610194526389e-01
1.417474162926804865e+03	1.064364161033090617e-01
1.519911082952933157e+03	9.951458127220615124e-02
1.629750834620645037e+03	9.301248700602800235e-02
1.747528400007684695e+03	8.691045600516539293e-02
1.873817422860385022e+03	8.118857523706332624e-02
2.009233002565047855e+03	7.582698802069380573e-02
2.154434690031884656e+03	7.080611971046218978e-02
2.310129700083160515e+03	6.610684870711125427e-02
2.477076355991711353e+03	6.171063281195362377e-02
2.656087782946686730e+03	5.759959939199559703e-02
2.848035868435802058e+03	5.375660645253215603e-02
3.053855508833415570e+03	5.016528052043886521e-02
3.274549162877728577e+03	4.681003621622299715e-02
3.511191734215130964e+03	4.367608152147018502e-02
3.764935806792467247e+03	4.074941201396959506e-02
4.037017258596553802e+03	3.801679672842456226e-02
4.328761281083056929e+03	3.546575778982608007e-02
4.641588833612781855e+03	3.308454554411135312e-02
4.977023564332113892e+03	3.086211056302901393e-02
5.336699231206313016e+03	2.878807361520193189e-02
5.722367659350220492e+03	2.685269446283670633e-02
6.135907273413175972e+03	2.504684015447910736e-02
6.579332246575682802e+03	2.336195333111796418e-02
7.054802310718645458e+03	2.179002093944074070e-02
7.564633275546290861e+03	2.032354364683118184e-02
8.111308307896872066e+03	1.895550617334761448e-02
8.697490026177834807e+03	1.767934869276510668e-02
9.326033468832200015e+03	1.648893940477955816e-02
1.000000000000000000e+04	1.537854834116552695e-02
